collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"14","","en","Goldmaw Champion","9cbc8765-1735-48ca-bbc2-411aa7da2ed3","1","44d4cd64-8560-48f5-b0bc-f75286c1c91c","khm","Kaldheim"
"39","","en","Wings of the Cosmos","afa9cf24-cd02-41f5-9141-f6ff6f27d528","1","d6b26c95-f90d-43fb-8c99-2a3aa13ac2c6","khm","Kaldheim"
"9","","en","Beaming Defiance","f88eeb04-4b8e-4c76-a8c6-90887b94d518","2","7e22411c-11c1-4770-8491-7952dd406e01","stx","Strixhaven: School of Mages"
"5","","en","Bound in Gold","ca597a0d-b510-4b25-9a83-4d4e613546f5","1","074d526a-1eef-4045-bd38-f6d68c4bc4b9","khm","Kaldheim"
"38","","en","Warhorn Blast","8106606c-9a1c-44b2-a9bf-3f189ce050ef","1","3fc98aff-edc0-4f78-ae4f-e08735c9e512","khm","Kaldheim"
"11","","en","Combat Professor","1b59665f-23c7-4df9-8e71-f9b1a419063b","6","3f669ac4-98ed-4e23-91a9-281f8277ab04","stx","Strixhaven: School of Mages"
"37","","en","Valor of the Worthy","84534792-7834-4a3c-9940-c1eccbe6e9cf","1","83632e73-be3f-43fc-932f-45cb1af4f8fb","khm","Kaldheim"
"16","","en","Eager First-Year","74788d52-dad7-4c10-8567-a2c86ed90a67","3","7a83543b-3b6f-4e28-96f9-007b814bcfd6","stx","Strixhaven: School of Mages"
"100","","en","Sudden Edict","b95f704d-96b9-437e-8c49-aba874139e12","3","57cc8aeb-221d-46a1-b03f-df8499bba26d","mh2","Modern Horizons 2"
"85","","en","Flay Essence","b233a9e4-0b4c-41e8-a5b8-77824241966b","2","297eaa16-890b-41dc-a470-fa8c313e6e1b","mh2","Modern Horizons 2"
"163","","en","Glimmer Bairn","118cdf8b-44fb-4c3e-86c4-e7f4b1267646","3","03250752-bd85-485a-b19a-fa344c4ffd50","mh2","Modern Horizons 2"
"126","foil","en","Devouring Tendrils","c0112586-3826-452e-9e44-7e6edd197f78","1","f7444555-da19-4d2d-ad81-233c54fbb78e","stx","Strixhaven: School of Mages"
"119","","en","Accomplished Alchemist","97e18a8d-9068-4782-a744-280d28c68228","1","0d7b7830-b65e-4c53-98e8-152026764e4b","stx","Strixhaven: School of Mages"
"141","foil","en","Reckless Amplimancer","1c264f6e-caa7-44cb-8719-86212292679c","2","bc8072b1-6080-45cd-b1c7-353b54a55931","stx","Strixhaven: School of Mages"
"141","","en","Reckless Amplimancer","1c264f6e-caa7-44cb-8719-86212292679c","4","bc8072b1-6080-45cd-b1c7-353b54a55931","stx","Strixhaven: School of Mages"
"126","","en","Devouring Tendrils","c0112586-3826-452e-9e44-7e6edd197f78","1","f7444555-da19-4d2d-ad81-233c54fbb78e","stx","Strixhaven: School of Mages"
"132","","en","Fortifying Draught","a34c78c6-ffbc-4461-a66d-1253a7aa963b","1","6789b717-a000-464a-a39b-32c1aeefe560","stx","Strixhaven: School of Mages"
"146","","en","Verdant Mastery","b392fabc-51f2-4ae4-b21c-1c662e4c6953","1","197455e5-7929-47b8-ad00-8d3918949eb7","stx","Strixhaven: School of Mages"
"136","","en","Leyline Invocation","9f2e713f-c7d5-4c91-9934-9e36888244fd","3","4edfbed0-0c0d-4aa5-bfe0-5268aff0f958","stx","Strixhaven: School of Mages"
"140","","en","Professor of Zoomancy","a22b8220-b41d-4b58-aa68-2c65ce37c517","2","8347f2e8-ef70-4879-860a-12f7cab25902","stx","Strixhaven: School of Mages"
"121","","en","Bayou Groff","e83b2790-3cec-429c-a65d-6f4c7d025d37","8","4a82b032-b1ba-456c-abab-c0f7430b0587","stx","Strixhaven: School of Mages"
"128","foil","en","Ecological Appreciation","0635ab65-fc1a-4e43-9e11-3a1ad3093830","1","115f3d72-1aaf-4237-91b9-389256e5e5c8","stx","Strixhaven: School of Mages"
"152","","en","Kianne, Dean of Substance // Imbraham, Dean of Theory","9eab65ee-e8be-4fa6-9634-fb03582bd745","2","8b45dc40-6827-46a7-a9b7-802be698d053","stx","Strixhaven: School of Mages"
"143","","en","Spined Karok","7341a04a-b6d6-4106-b1c3-3483f9d37663","7","c37ae6b5-225a-410e-ab22-13e923bdfb65","stx","Strixhaven: School of Mages"
"135","","en","Karok Wrangler","031f629f-7a9a-4143-9f5d-434ed1c23b7f","4","74729320-f6ee-4176-9463-397d6e477d7a","stx","Strixhaven: School of Mages"
"131","","en","Field Trip","29423b70-7cb7-4617-898c-78a38eb233ad","2","f235060a-eb49-4a73-bb5f-01228c3c4070","stx","Strixhaven: School of Mages"
"122","","en","Big Play","607425ac-9e90-4c9e-88bf-72f8a76cce97","3","9016d667-50a9-4093-9a99-b34dcdafe60b","stx","Strixhaven: School of Mages"
"192","","en","Sarulf's Packmate","f32caf11-abc1-4cae-a311-10210176ea3a","1","6061113e-7dd8-4739-b4dd-55bb7f9e39a2","khm","Kaldheim"
"174","","en","Guardian Gladewalker","03a3f54e-9289-4d99-beab-bfa0988a050e","4","587eed42-5111-4161-9af5-bf76556c542a","khm","Kaldheim"
"129","","en","Emergent Sequence","dc859ce2-a267-481f-80d5-2cc38935baa0","2","04a81975-5f0e-4593-a2da-b9689f9a985f","stx","Strixhaven: School of Mages"
"163","","en","Boreal Outrider","19ef24b7-25f5-4ae2-b892-3e15ed62d299","1","455ae615-20d7-4251-828d-72a3345d06f1","khm","Kaldheim"
"189","","en","Rootless Yew","5b1dc298-403d-484d-90dd-e1c9b73e0188","1","992aba3f-e1cb-4f5a-8b6f-328a069102a4","khm","Kaldheim"
"159","","en","Arachnoform","2e41ae94-db31-4060-881b-a2f6d834c1ee","2","acbe560b-f7b5-4614-91f1-b669a39abc16","khm","Kaldheim"
"187","","en","Ravenous Lindwurm","3583ec24-4f26-45ea-8fb4-a45bdd7bfc79","2","9961e3fc-167e-4043-8510-cc5cf08d473e","khm","Kaldheim"
"184","","en","Masked Vandal","210940f1-3c11-4877-bbfc-2429c03f98ee","4","f0a9c72a-e450-41e3-80e5-06f2f1171245","khm","Kaldheim"
"124","","en","Charge Through","7e24b4da-9728-43a0-8af4-f513a3e1104b","2","ed16926f-feb0-481a-8c5e-88ea119752cd","stx","Strixhaven: School of Mages"
"164","","en","Broken Wings","5e316864-d55c-496f-8f46-773567896864","2","6201f78e-ff45-4c59-ac85-c8447c14a496","khm","Kaldheim"
"145","","en","Tangletrap","75effdde-0427-4e5a-bd6d-c3118f301520","3","80fbf729-00c0-4237-8294-c857f96364d3","stx","Strixhaven: School of Mages"
"171","","en","Glittering Frost","2013df0b-9e8c-4dbf-87b2-0dec983266fa","1","c60fbc33-6198-4661-967e-cc94f2788e4a","khm","Kaldheim"
"133","","en","Gnarled Professor","e66083f0-62a9-4ff7-8bb0-3eafc6d2e95d","1","a32338e8-1f6a-49b9-bd93-26578adab6b3","stx","Strixhaven: School of Mages"
"170","foil","en","Fynn, the Fangbearer","c0b1fba1-4338-4671-934b-098689ad2085","1","7d7a8a90-13c1-4b0c-ab2e-fc8d91ccefd9","khm","Kaldheim"
"89","","en","Kitchen Imp","eaa2ad31-065d-4aa3-a39c-5e491dd59022","5","836ae711-e62f-49ec-850e-d25f6fd2a4d4","mh2","Modern Horizons 2"
"91","","en","Loathsome Curator","8a20707f-9764-4236-9aa9-858a2419f012","2","11a59a6f-6ef0-4acc-8358-a4e2cebdb7d5","mh2","Modern Horizons 2"
"77","","en","Mage Hunters' Onslaught","22195e0e-a426-48d6-b100-480c7e2bd5cc","2","ed85140f-f0e0-4ac1-a67f-26d17ff95e31","stx","Strixhaven: School of Mages"
"161","","en","Valentin, Dean of the Vein // Lisette, Dean of the Root","6e1aa07a-5d9b-4daf-8dc4-c1717360855f","1","65008352-bc7e-40b2-a832-b46813e5dc4c","stx","Strixhaven: School of Mages"
"65","","en","Brackish Trudge","c775d3ef-2184-4425-8c8e-2bbc49687f76","1","90ba37ee-159f-421f-8d37-a7b5f1b562f0","stx","Strixhaven: School of Mages"
"69","","en","Essence Infusion","60f412bb-27e9-4883-8862-96eae96dfee3","3","71a48d0c-1e5b-43f2-8974-e2e5bb06310d","stx","Strixhaven: School of Mages"
"85","","en","Promising Duskmage","44958014-7e30-4e70-9aef-b148843f9c45","4","2ea0dff9-71c3-4d56-aa7b-e0fb9938529a","stx","Strixhaven: School of Mages"
"90","","en","Unwilling Ingredient","40d483fb-0dc7-413e-87f9-8d7cb7883fca","4","30448144-639a-43c7-a408-bd6ed543c231","stx","Strixhaven: School of Mages"
"67","","en","Confront the Past","a92c1ffe-88b0-467c-883c-6ca3564a39e3","1","e1951763-be97-400c-aa95-6b101f47bddf","stx","Strixhaven: School of Mages"
"105","","en","Raise the Draugr","8727284f-e9a6-49ea-9fb8-1076883ceecf","1","1a67c196-632c-4c7b-a132-de07d894e634","khm","Kaldheim"
"104","","en","Priest of the Haunted Edge","fb711b7d-bd7f-48e3-a6de-a12f94ef55d2","1","0cde0f4d-5acc-4a25-a3d6-c6b9b734360c","khm","Kaldheim"
"80","","en","Bloodsky Berserker","ed04f170-a4d9-4151-b4ae-1200d523dc6b","1","a6308a53-de07-4ed9-80a1-3579843466c2","khm","Kaldheim"
"81","","en","Plumb the Forbidden","b099fc54-cdbc-46cb-b4e4-7c2ca77b115b","3","5034227f-3b8a-45bf-917c-c2cbd98f2192","stx","Strixhaven: School of Mages"
"108","","en","Rune of Mortality","b827f8d2-07da-4358-9496-a68f8ccdbfe5","1","6f75a5e5-70df-49c3-abe1-8cc6975f5171","khm","Kaldheim"
"93","","en","Elderfang Disciple","8db63f1a-0d63-4b11-966d-818d83a082f9","1","7f3a6148-d005-49c1-a7fc-867c4e8251cd","khm","Kaldheim"
"119","","en","Withercrown","bc700a38-7467-41fd-861f-940e0e5982bd","1","597fe119-64a7-4499-8b69-738af5a71a20","khm","Kaldheim"
"73","","en","Hunt for Specimens","53f1bcff-55fb-4d38-b108-dcbed623f488","1","8ff0f47f-75cb-42b0-ba4d-78522cad9861","stx","Strixhaven: School of Mages"
"91","","en","Duskwielder","b9227f38-7db7-4ea1-9482-94e5de3984fe","2","5b5490b8-5652-40f5-8678-e1263ef69b5a","khm","Kaldheim"
"99","","en","Infernal Pet","831b7dad-ab5a-4980-a52d-65c5633d474a","1","80340582-655b-4bf1-88fb-14bcbe17aa04","khm","Kaldheim"
"117","","en","Village Rites","365548fb-5acc-4a8a-b20b-26d28b7d029f","1","0fab9ee8-776a-48e5-b309-bcd381e67bf7","khm","Kaldheim"
"79","","en","Novice Dissector","d5d6a41e-84bd-4b10-9734-50d91d523d2f","1","4c4677bc-736b-4bf2-851e-b158718a4224","stx","Strixhaven: School of Mages"
"95","","en","Feed the Serpent","ad404b46-dee7-41bb-969d-35b4cbaadece","1","99a1a75b-20cf-4db9-a244-cc54411446c4","khm","Kaldheim"
"84","","en","Demonic Gifts","162bcc9d-6edf-4b3b-83e6-2c933e2a5967","2","3f23c487-ac4a-475b-ad5e-ec6f8678e668","khm","Kaldheim"
"75","","en","Leech Fanatic","17bcd92b-1826-4a36-9048-49e5e65a12fd","4","307f9fe7-241b-4eb6-a059-be5384b4a1b6","stx","Strixhaven: School of Mages"
"85","","en","Dogged Pursuit","987f8c13-0164-4536-b505-d9fa799222fb","1","60f6a159-b969-4767-802e-409f8bf286fe","khm","Kaldheim"
"118","","en","Weigh Down","51f1ceb9-2305-4a4e-b422-7dd7f8deef98","1","6ffa795d-2211-49b0-a6df-812599758f7b","khm","Kaldheim"
"111","","en","Skull Raid","7d22c7ed-2f45-42af-b999-b921f4f4db25","2","4589c520-4db3-47bf-bfb2-5d7e02ede4bf","khm","Kaldheim"
"90","foil","en","Unwilling Ingredient","40d483fb-0dc7-413e-87f9-8d7cb7883fca","2","30448144-639a-43c7-a408-bd6ed543c231","stx","Strixhaven: School of Mages"
"40","","en","Etherium Spinner","b501128b-2797-401b-8aec-923050081cae","4","cdc8056f-4c8e-4a2b-b32f-c50c2cb7601a","mh2","Modern Horizons 2"
"66","","en","Step Through","c4fa89c7-f00d-42ef-bd67-407a288cd054","2","716534cb-aa89-4de7-9aa5-8d8aa4422a6a","mh2","Modern Horizons 2"
"47","","en","Mercurial Transformation","c7efe6c6-3da1-47a6-a8ad-30c36502a7ab","1","adcbe115-5482-4e5a-95bb-8ccbb01d3547","stx","Strixhaven: School of Mages"
"61","","en","Waterfall Aerialist","736026b2-84d4-4452-ae0d-5d1b0af0a400","5","7bc6966c-18d9-4675-9594-6f0b2d11c405","stx","Strixhaven: School of Mages"
"38","","en","Burrog Befuddler","73b60c2c-7c74-4554-8861-daa0d6fc22b4","6","6040c573-cd8c-4593-8ade-d9922482035c","stx","Strixhaven: School of Mages"
"40","","en","Curate","75e8907d-f726-4a63-ba8b-c0fd4936734e","2","f2a0e716-22b7-4a5e-9b7a-d4a806ee7427","stx","Strixhaven: School of Mages"
"43","","en","Frost Trickster","1663d54f-4f39-4a03-aac2-e2923cbb7de8","1","fd79c9cc-0a8c-4d88-96e2-cb177134a18d","stx","Strixhaven: School of Mages"
"56","","en","Symmetry Sage","16cb916d-bb19-42ec-9a01-969e9d067b40","3","3e726fc7-36cf-405c-9b7c-d1e41cd6c68f","stx","Strixhaven: School of Mages"
"51","","en","Resculpt","814e321d-16fd-4f7b-a8d8-2b089be76f2c","6","1bfb1fcb-a411-4c1c-b8fc-496242ae3a9b","stx","Strixhaven: School of Mages"
"57","","en","Frostpeak Yeti","0363363b-a538-4cf6-ae6b-6b45cdabd99a","1","3f406ce3-dce1-42d3-b76c-8e8c4b2770cb","khm","Kaldheim"
"65","","en","Karfell Harbinger","0507a9d2-cbad-4a7b-b888-fbd5ac1ed02f","1","4911016c-b92a-47cc-9553-b424d7be196a","khm","Kaldheim"
"64","","en","Inga Rune-Eyes","78afa295-c9f4-4a81-9f7b-5746a3cf6b31","2","62a6f095-5beb-42a8-af8f-d40eef27150e","khm","Kaldheim"
"53","","en","Snow Day","057729d0-f7ed-465b-91aa-fb2c6d6612b2","1","a6b6f17d-45ba-4d60-a963-5eee026f2219","stx","Strixhaven: School of Mages"
"67","","en","Mists of Littjara","c0162a6c-12d9-4b84-811a-ee6e39401863","2","6cfd4944-790f-4835-a8a1-c23ef7047648","khm","Kaldheim"
"55","","en","Draugr Thought-Thief","0952cfaf-8031-4df7-b276-dcb0b8f19ab7","1","31da60a2-d4d3-4954-be59-c7ff61fa2905","khm","Kaldheim"
"44","","en","Augury Raven","ee05fc58-1356-4b2f-b9ce-bda8cc716aee","1","a9947cfd-91d6-479e-a7f6-2a2050f020f3","khm","Kaldheim"
"49","","en","Pop Quiz","dda9ac6c-1ab2-4f77-b499-f03d587163d8","5","d16892d8-9d10-45de-ab79-0e645c4b5588","stx","Strixhaven: School of Mages"
"54","","en","Disdainful Stroke","11e02134-7b1a-46a4-a89e-7539dd1efada","2","7691ac89-f8ba-493e-aa11-5674a783dffb","khm","Kaldheim"
"46","","en","Behold the Multiverse","d7d2f701-77df-4169-bf98-0d51d6886e9b","2","27855a38-a682-4f97-ad22-ac625e86faec","khm","Kaldheim"
"42","","en","Annul","d08e9784-75f7-4164-ac48-d06160f8c56b","1","4b1d4a59-11a0-4a55-8ac0-07377a9e6dc8","khm","Kaldheim"
"68","","en","Mistwalker","ceb302df-d67e-4e5d-aca0-f53bcdea658d","1","92f64b49-327c-473b-a492-f020a322aed7","khm","Kaldheim"
"49","","en","Brinebarrow Intruder","eba73313-5ec5-4004-8040-658861b71a8f","1","89960a74-9e17-4e30-874a-4286dd4c917d","khm","Kaldheim"
"72","","en","Ravenform","d3d61a6a-7870-44df-92e5-513dac2c2c3e","2","2c2cfcd7-b43a-4dad-a033-e661f55ceecd","khm","Kaldheim"
"55","","en","Soothsayer Adept","29723d39-aaca-48fd-ba4a-14931e4483e9","4","eb93c9d2-88eb-403d-bb67-8e8b0462ac27","stx","Strixhaven: School of Mages"
"74","","de","Run Ashore","9b3bcd57-bf3f-4d72-810a-fdb5c8ea1551","1","88b6c155-602e-4b95-90c6-4f0e2098f10f","khm","Kaldheim"
"53","","en","Depart the Realm","ae069ba4-8ca6-4eda-8f5d-fc82072d7d40","1","2ce0403d-76ed-4eb0-abdd-74ed28f96137","khm","Kaldheim"
"39","","en","Bury in Books","d5e67016-1740-42f8-8be2-9eb9d4adb142","3","ac2a2cf5-80cf-4c06-8b04-bc04a5460de5","stx","Strixhaven: School of Mages"
"62","foil","en","Icebind Pillar","18050051-63f6-4091-bf67-7a0701a0791d","1","a3152f1f-5d3f-4bc4-9b6f-f2983ab3f691","khm","Kaldheim"
"40","","en","Alrund, God of the Cosmos // Hakka, Whispering Raven","0a69c3dd-52a3-4ef6-b53f-b0780e0dc5f8","1","5d131784-c1a3-463e-a37b-b720af67ab62","khm","Kaldheim"
"125","","en","Flametongue Yearling","8181f131-626b-4f9a-812c-9fddaae58025","2","33ab05b5-d6f5-439c-9aed-1a58ceb282ad","mh2","Modern Horizons 2"
"118","","en","Twinscroll Shaman","a2f867cd-410d-4524-8660-38ad142f6b1f","4","87193af5-4b6b-48d0-9b75-8171bb1d6e53","stx","Strixhaven: School of Mages"
"105","foil","en","Hall Monitor","937a04c2-41be-4ff3-8992-6628a9ee9792","1","02fdc551-0b22-49f4-8765-143ad82f16a3","stx","Strixhaven: School of Mages"
"221","","en","Stone Rain","6e880df6-fc00-43d2-a9c8-f575f40b78c6","1","d2334c10-fa96-4f8e-8187-c7ecc00cbac8","9ed","Ninth Edition"
"56","","en","Voracious Dragon","7f39bbae-6c84-4cb3-9a58-d746a723ad35","1","fbda3a22-2aff-49db-8779-38551142b860","ddg","Duel Decks: Knights vs. Dragons"
"117","","en","Tome Shredder","b145952b-52e3-4a66-b47e-f08a489f9443","9","a7cc9ea8-db4e-4f41-800f-fb0dbcb2c345","stx","Strixhaven: School of Mages"
"150","foil","en","Flamescroll Celebrant // Revel in Silence","5f1d3d22-18f7-42b7-8039-ef7aa5d29856","1","0dba25e3-2b4f-45d4-965f-3834bcb359ee","stx","Strixhaven: School of Mages"
"134","","en","Dwarven Reinforcements","b38c567e-fd79-4a74-ab5f-df4a6a8f7e00","2","40bcc7cb-65dd-4bc6-8606-a162fa6c65f7","khm","Kaldheim"
"155","","en","Tormentor's Helm","4f5f0988-0b1f-4f4b-bcee-cc76fa484d9e","1","2318d4f8-309e-4645-b6d1-46572edd6996","khm","Kaldheim"
"148","","en","Rune of Speed","94d57b98-0f96-43c6-bf04-441339c89063","1","47faee66-b274-466a-890e-bb396dda943d","khm","Kaldheim"
"41","","en","Infuriate","d23119ca-73d1-4a48-a8d0-dab8919d891f","1","71a5dfad-c8b4-46cc-9a06-73d23b269df8","sta","Strixhaven Mystical Archive"
"110","","en","Mascot Interception","ae3da0be-2a3f-498a-8854-73d0a5526ec2","3","8f0ea66f-1756-4b0d-8ccc-3b3a7370b531","stx","Strixhaven: School of Mages"
"133","","en","Dwarven Hammer","a6365f98-f652-492b-81de-5f8cd6fe0a1c","1","f9cc132f-d4c1-4bc4-9c9e-f63ab5e7d094","khm","Kaldheim"
"100","","en","Explosive Welcome","ac27ccb8-81e2-42e2-a340-0b0ce9609688","1","122c01e6-38a6-456e-971e-9004df85ac1c","stx","Strixhaven: School of Mages"
"114","","en","Start from Scratch","d8e255ec-7d66-43f6-b5f0-712f5957687f","2","55c99486-ae64-4293-81fb-a4b02e8fcae6","stx","Strixhaven: School of Mages"
"140","","en","Hagi Mob","c19aaf86-b098-4e7d-af50-9e02ae3cda55","2","d3b18cdb-bc17-42ae-bfb7-4eafce01cd39","khm","Kaldheim"
"129","","en","Demon Bolt","6e786f0b-e2cb-40ee-96bc-81945a0b35a3","1","5f856b0e-b413-49b0-9aa7-d935ad40ae53","khm","Kaldheim"
"152","","en","Squash","54bd7b7c-4052-437d-b2e4-311339e8e16e","1","e0b99299-bf84-4654-a331-e4406768b33c","khm","Kaldheim"
"124","","en","Breakneck Berserker","9f18a580-1c30-4f97-be06-098a763dfda8","1","d6eb23c9-6061-4ad1-a8f3-2c791c49f352","khm","Kaldheim"
"116","","en","Sudden Breakthrough","f5576cd4-6b21-4b29-902c-9c1fbdd7b2be","4","b011707a-471b-41c2-bc73-376a55d26bee","stx","Strixhaven: School of Mages"
"147","","en","Run Amok","d463de75-8d3c-4077-a2cc-c304a63acc69","1","44c8136f-2826-476c-a103-7094670506a6","khm","Kaldheim"
"112","","en","Pillardrop Warden","6ee2a7ba-a676-4d05-b214-7db52e41afe7","5","7d509f73-cd62-4116-9652-0ed801ed8b36","stx","Strixhaven: School of Mages"
"103","","en","Fuming Effigy","37d48f9b-0286-4c5b-b549-baccb473aea3","4","7ce76a38-fc5f-4e29-ba24-4a877179a62c","stx","Strixhaven: School of Mages"
"138","","en","Frost Bite","128170ed-c86a-4f02-9244-28197be90c10","1","9423318a-c5a8-48d2-92f5-280d15a050a6","khm","Kaldheim"
"157","","en","Tuskeri Firewalker","36dda03b-a3c1-4ef4-ae62-da318028a39e","1","a54d0170-a375-4e65-b98d-3e94a3aeef90","khm","Kaldheim"
"125","","en","Calamity Bearer","b3f7c4ac-b788-4307-9bc3-d99ce310e07c","1","a15edad1-ff68-4f20-95f6-99fe549bea98","khm","Kaldheim"
"101","","en","Fervent Mastery","cae6d903-3fd6-422d-b21b-92201b78fa1b","3","1f824caf-b32c-442a-8631-887831a57360","stx","Strixhaven: School of Mages"
"123","","en","Birgi, God of Storytelling // Harnfel, Horn of Bounty","fb81e4d3-1d8c-4779-be62-87cf49277e51","1","44657ab1-0a6a-4a5f-9688-86f239083821","khm","Kaldheim"
"270","","en","Prismari Campus","3a3a1b35-ae4d-49d5-ae09-5a1693ad53ce","6","768120f5-9401-4e52-924e-3374bde65b3d","stx","Strixhaven: School of Mages"
"215","","en","Prismari Pledgemage","47ecedec-7bf7-4a3b-ac33-2bf203fa50d9","4","404b4c7b-5d40-4ad1-bd40-3da1d08f5c78","stx","Strixhaven: School of Mages"
"183","","en","Elemental Summoning","f9e668f9-21af-4fd8-9a37-6505ab2234e3","3","ea51991c-1589-4c62-965b-5ae8d233520b","stx","Strixhaven: School of Mages"
"173","","en","Culmination of Studies","d4e124af-d335-4c42-b60a-fe578f69f7ed","2","2483060e-9d3f-48ae-80ea-0119bf6b4d67","stx","Strixhaven: School of Mages"
"215","","en","Invasion of the Giants","807e35c0-8ea1-44a5-abac-51fd516aad03","1","7f5075a0-c72a-474c-937c-95dc9205d14f","khm","Kaldheim"
"241","","en","Teach by Example","d85ba214-fa05-44ca-a7f9-ab2c5dc07962","3","aa7fbb9b-50a8-4d18-a667-fe965468ca16","stx","Strixhaven: School of Mages"
"249","","en","Witherbloom Pledgemage","f10039ae-2695-4b0a-82b2-82ee79a992c7","2","a6cc6914-2dcb-411d-90a5-01853ff2d5b8","stx","Strixhaven: School of Mages"
"175","","en","Daemogoth Woe-Eater","290323d7-d8cb-4706-87d9-b920a4e2f680","2","c965cbe3-50e5-41bb-bdb9-e65d97aab716","stx","Strixhaven: School of Mages"
"194","","en","Infuse with Vitality","6799217a-030c-4c1b-9de3-99725c6ef4cf","3","840600a9-3e78-48a6-b75b-860446b82c1b","stx","Strixhaven: School of Mages"
"176","","en","Deadly Brew","b831d3f8-07ce-4172-ba29-213cac414c9a","2","87d33e48-90fc-4aac-b09a-68050bc053b5","stx","Strixhaven: School of Mages"
"222","","en","Reconstruct History","97fad58a-8ee4-4f01-a47a-5ddc9ed845af","3","3e565e38-43d5-482e-a911-ce525dfee74f","stx","Strixhaven: School of Mages"
"62","","en","Lightning Helix","800c258a-cfc4-4a54-a667-065ea8dea69e","2","227ac87a-7196-40d0-ab00-98ebafcca09a","sta","Strixhaven Mystical Archive"
"204","","en","Make Your Mark","1c7ca399-7d85-452b-97c0-5d7f6c0eeb12","5","7e937830-3804-44e8-b9d0-3e5f5cf39eab","stx","Strixhaven: School of Mages"
"268","","en","Lorehold Campus","45773715-3f46-4671-b633-bf087e892e26","2","d35461cf-becf-4399-8329-64b4496b7fc2","stx","Strixhaven: School of Mages"
"201","","en","Lorehold Pledgemage","2c18d692-612c-4d43-b5dd-bd2bff37bbcb","5","79b88b38-6b5a-4a89-80ca-add79c11e8b9","stx","Strixhaven: School of Mages"
"243","","en","Thrilling Discovery","c5f5a234-c751-4976-a3e1-fbd52b3255c9","3","bac1f45e-1884-490e-a94f-f7d312f0e229","stx","Strixhaven: School of Mages"
"239","","en","Stonebound Mentor","7c4b4dd4-4a80-436a-8526-5c58c1751ccd","4","9c64e954-adfc-40a2-a3b2-85f1b4626976","stx","Strixhaven: School of Mages"
"198","","en","Lorehold Apprentice","3858a2ff-cdc9-4e40-bc2c-42ed691aae08","3","048157c6-4626-4881-ba19-deddd13622dc","stx","Strixhaven: School of Mages"
"236","","en","Spirit Summoning","a4825093-ea29-47d9-b52c-1c7735f1909e","3","74be6236-4095-419c-9927-fbd874df21f8","stx","Strixhaven: School of Mages"
"223","","en","Relic Sloth","eb9b0655-3ca3-4d12-8665-54ef0c2c4de2","3","c1cb483f-c567-4cfd-9fe8-1503e7b40542","stx","Strixhaven: School of Mages"
